time,category,message,day
07:00,تحفيز صباحي,صباح الخير!  يومك الأول من رحلة الـ 100 يوم نحو صحة أفضل!  ابدأ يومك بكأس من الماء الدافئ مع الليمون لتنشيط عملية الأيض وتطهير الجسم.  التحدي الأول: اكتب ثلاث أشياء تشعر بالامتنان لها اليوم.,1
07:30,وجبة الفطور,وجبة فطور غنية بالبروتين والألياف:  شوفان (مصدر للألياف، ينظم مستوى السكر في الدم) مع حليب اللوز (غني بالفيتامينات والمعادن) ،  موزة (مصدر للبوتاسيوم، طاقة طبيعية)،  و ملعقتين من بذور الكتان (أوميغا 3، صحة القلب).  استمتع بوجبتك!,1
09:00,معلومة علمية,هل تعلم أن نقص فيتامين د يرتبط بزيادة خطر الإصابة بالاكتئاب؟  تعرض نفسك للشمس لمدة 15-20 دقيقة يوميًا للحصول على جرعة كافية من فيتامين د، أو استشر طبيبك حول المكملات الغذائية.,1
10:30,تحدي رياضي,تمرين اليوم: تمارين الضغط (Push-ups).  ابدأ بـ 3 جولات، كل جولة 10 تكرارات.  ركز على الشكل الصحيح لتجنب الإصابات.  الفائدة: تقوية عضلات الصدر والكتفين والذراعين وتحسين قوة التحمل.,1
13:00,وجبة الغداء,وجبة غداء صحية ومتوازنة: سلطة خضراء مع الأفوكادو (مصدر للدهون الصحية، فيتامين ك) ، دجاج مشوي (بروتين عالي الجودة) ، وخبز قمح كامل (ألياف).  استمتع بطعمها اللذيذ وقيمتها الغذائية العالية.,1
15:00,معلومة علمية,الماء ضروري لجميع وظائف الجسم.  تناول كمية كافية من الماء يوميًا يساعد على تحسين الهضم، تنظيم درجة حرارة الجسم، وحتى تحسين المزاج.  هدفك اليوم: تناول 8 أكواب من الماء.,1
16:30,وجبة خفيفة,وجبة خفيفة صحية:  زبادي يوناني (غني بالبروتين) مع بعض التوت (مضادات أكسدة).  وجبة خفيفة مثالية لتزويدك بالطاقة وتجنب الشعور بالجوع.,1
18:00,تحدي رياضي,تمرين المشي السريع لمدة 30 دقيقة.  الفائدة: تحسين الدورة الدموية، حرق السعرات الحرارية، وتقوية عضلات الساقين.,1
20:00,وجبة العشاء,وجبة عشاء خفيفة وصحية: سمك مشوي (مصدر لأوميغا 3، بروتين) مع خضروات مسلوقة (فيتامينات ومعادن).  تجنب تناول الطعام الثقيل قبل النوم.,1
21:00,استرخاء وتأمل,استرخاء قبل النوم:  مارس تقنية التنفس العميق لمدة 10 دقائق.  استنشق الهواء ببطء لمدة 4 ثوان، واحبسه لمدة 7 ثوان، ثم أخرجه ببطء لمدة 8 ثوان.  كرر العملية عدة مرات.,1
22:00,رسالة قبل النوم,ليلة سعيدة!  تذكر أن كل يوم هو فرصة جديدة للنمو والتقدم نحو أهدافك الصحية.  استمتع بنوم هادئ ومريح.,1
07:00,تحفيز صباحي,صباح الخير! يومنا الثاني في رحلة الصحة المتكاملة!  لنبدأ اليوم بتمرين التنفس العميق لمدة 5 دقائق: استنشق بعمق من أنفك، واحبس أنفاسك قليلاً، ثم أخرج الهواء ببطء من فمك. كرر هذا 10 مرات. هذا يساعد على تحفيز الجهاز العصبي وتهدئة العقل لإنتاجية أفضل طوال اليوم.  ركز على شعورك بالهدوء والطاقة الإيجابية.,2
07:30,وجبة الفطور,وجبة فطور غنية بالألياف والطاقة:  شريحتان من خبز القمح الكامل (غني بالألياف التي تساعد على الهضم)، بيضة مسلوقة (مصدر ممتاز للبروتين)، نصف أفوكادو (غني بالدهون الصحية المفيدة للقلب)، كوب من الشاي الأخضر (غني بمضادات الأكسدة).  استمتع بوجبتك!,2
09:00,معلومة علمية,هل تعلم أن شرب كمية كافية من الماء يساعد على تحسين وظائف الكلى ويساعد على التخلص من السموم؟  هدفنا اليوم هو شرب 2 لتر من الماء على الأقل. تذكر أن تحافظ على ترطيب جسمك طوال اليوم.,2
11:00,تحدي رياضي,تحدي اليوم: تمارين شد الجسم.  قم بتكرار كل تمرين 15 مرة، مع 3 جولات:  1- شد البطن (Crunches)، 2- شد الظهر (Back extensions)، 3- شد الفخذين (Leg Raises)، 4- شد الأذرع (Push-ups (تعديل حسب مستوى اللياقة)).  هذا التمرين يقوي عضلات الجسم ويزيد من مرونته.,2
13:00,وجبة الغداء,وجبة غداء متوازنة:  صدر دجاج مشوي (بروتين عالي الجودة)، كوب من الأرز البني (غني بالألياف)، سلطة خضراء مع زيت زيتون (مصدر للدهون الصحية والألياف)،  حبة طماطم (غنية بفيتامين سي).  تذكر مضغ الطعام جيداً.,2
15:00,نصيحة صحية,نصيحة اليوم:  ركز على تناول الأطعمة الغنية بمضادات الأكسدة مثل التوت والفواكه الحمضية والخضراوات الورقية.  مضادات الأكسدة تساعد في حماية الجسم من الجذور الحرة وتقليل خطر الإصابة بالأمراض.,2
17:00,وجبة خفيفة,وجبة خفيفة صحية:  زبدة الفول السوداني على شريحة خبز قمح كامل (مصدر للبروتين والألياف والدهون الصحية).  تجنب الوجبات الخفيفة المصنعة والغنية بالسكريات.,2
19:00,وجبة العشاء,وجبة عشاء خفيفة وصحية:  شوربة خضار (غنية بالألياف والفيتامينات والمعادن)، سلطة خضراء صغيرة مع زيت زيتون وليمون.  تجنب تناول وجبات دسمة قبل النوم.,2
21:00,استرخاء وتأمل,قبل النوم، خصص 10 دقائق للاسترخاء.  جرب تقنية الاسترخاء العضلي التدريجي:  شد عضلات جسمك واحدة تلو الأخرى، ثم ارخيها.  كرر هذا مع كل مجموعة من العضلات.  هذا يساعد على تخفيف التوتر وتحسين النوم.,2
07:00,تحفيز صباحي,صباح الخير!  يومك الثالث في رحلتنا نحو صحة متكاملة.  اليوم، تركّز على قوة التنفس العميق. قبل أن تبدأ يومك، خصص 5 دقائق للتنفس البطني العميق (شهيق عميق من الأنف، زفير بطيء من الفم).  هذا يساعد على تهدئة الجهاز العصبي وتنشيط الدورة الدموية، مما يُحسّن تركيزك وطاقتك طوال اليوم.,3
08:00,وجبة الفطور,وجبة فطور غنية بالألياف والحديد:  شريحتان من خبز القمح الكامل (غني بالألياف التي تساعد على الهضم)، بيضة مسلوقة (مصدر ممتاز للبروتين والحديد، المهمين لعملية بناء الخلايا)، حفنة من اللوز (غني بالدهون الصحية والفيتامينات E ومضادات الأكسدة)، وقطعة من الفاكهة الموسمية (مثلاً، تفاحة – غنية بالألياف وفيتامين C). ,3
09:00,معلومة علمية,هل تعلم أن شرب كمية كافية من الماء يُحسّن وظائف الكلى ويساعد على طرد السموم من الجسم؟  هدفنا اليوم هو شرب 2-3 لترات من الماء.  لا تنتظر حتى تشعر بالعطش، بل اشرب الماء بانتظام طوال اليوم. الماء ضروري لعملية التمثيل الغذائي السليمة.,3
11:00,تحدي رياضي,تمرين اليوم: تمارين الضغط على الحائط (Wall Push-ups).  قف على مسافة ذراع من الحائط، وادعم يديك على الحائط. انزل ببطء حتى تصبح ذراعيك مثنية بزاوية 90 درجة، ثم اعد الصعود. كرر هذا التمرين 10 مرات، 3 جولات، مع راحة قصيرة بين الجولات.  هذا التمرين يقوي عضلات الصدر والكتفين والذراعين.,3
13:00,وجبة الغداء,وجبة غداء صحية ومتوازنة:  سلطة كبيرة من الخضروات الورقية (الخس، الجرجير، الخيار، الطماطم - غنية بالفيتامينات والمعادن والألياف)، صدور دجاج مشوية (مصدر ممتاز للبروتين)، وربع كوب من الأرز البني (غني بالألياف والمعادن). ,3
15:00,نصائح غذائية,نصيحة اليوم:  ركز على تناول الأطعمة الغنية بمضادات الأكسدة.  توجد مضادات الأكسدة بوفرة في الفواكه والخضروات الملونة مثل التوت، الفلفل الملون، والسبانخ.  مضادات الأكسدة تحمي خلايا الجسم من التلف الناتج عن الجذور الحرة.,3
17:00,وجبة العصر,وجبة عصر خفيفة: زبادي يوناني (غني بالبروتين) مع ملعقة من العسل وبعض التوت. ,3
19:00,وجبة العشاء,وجبة عشاء خفيفة وسهلة الهضم:  حساء العدس (غني بالبروتين والألياف) مع قطعة خبز قمح كامل صغيرة. ,3
